release_id,release_title,disc_number,position,title,length,id
00dafa47-bdce-4d96-b8af-af0859ee008f,The Beatles’ Hits,1,1,From Me to You,117106,dc87225b-46bc-4a5d-837f-14e7eb8f2ca2
00dafa47-bdce-4d96-b8af-af0859ee008f,The Beatles’ Hits,1,2,Thank You Girl,123600,72e496b3-73e5-482a-99f8-5a0f9a844391
00dafa47-bdce-4d96-b8af-af0859ee008f,The Beatles’ Hits,1,3,Please Please Me,121786,875c1cf7-f568-4f0d-b5e3-bc8a7614269a
00dafa47-bdce-4d96-b8af-af0859ee008f,The Beatles’ Hits,1,4,Love Me Do,141693,1f518811-7cf9-4bdc-a656-0958e130f312
02a86451-1ce5-467e-bef3-a0644ecdc7ff,From Me to You / Thank You Girl,1,1,From Me to You,117106,dc87225b-46bc-4a5d-837f-14e7eb8f2ca2
02a86451-1ce5-467e-bef3-a0644ecdc7ff,From Me to You / Thank You Girl,1,2,Thank You Girl,123600,72e496b3-73e5-482a-99f8-5a0f9a844391
0626822a-600f-3324-8a21-36eb7c812cb5,I Want to Hold Your Hand,1,1,I Want to Hold Your Hand,147000,e9433409-2786-4194-8dfb-9427e6ba34d2
0626822a-600f-3324-8a21-36eb7c812cb5,I Want to Hold Your Hand,1,2,This Boy,135000,7c9e1dfc-71e4-4980-982b-ef841efdd325
0805a5cf-d036-41c3-bc9b-af52aa01b21b,Love Me Do,1,1,Love Me Do,143906,f87eb4dd-7e3c-4365-a3c8-f144696f5952
0805a5cf-d036-41c3-bc9b-af52aa01b21b,Love Me Do,1,2,P.S. I Love You,124000,c84e23aa-20d9-45df-85cb-a6ecdba6e44e
08a76e48-4d6a-3d9f-a25b-5d96166a05ae,Please Please Me / Ask My Why,1,1,Please Please Me,121786,875c1cf7-f568-4f0d-b5e3-bc8a7614269a
08a76e48-4d6a-3d9f-a25b-5d96166a05ae,Please Please Me / Ask My Why,1,2,Ask Me Why,142000,c8da403f-3c34-48b0-ae9e-7aa419df07c3
0d406e63-549a-4326-a319-509ff15398f0,No. 1,1,1,I Saw Her Standing There,175800,da77d23c-3acb-4b3d-9596-24aa55f03ece
0d406e63-549a-4326-a319-509ff15398f0,No. 1,1,2,Misery,110200,c91fd146-01cb-4673-b653-d0845c05e164
0d406e63-549a-4326-a319-509ff15398f0,No. 1,1,3,Anna (Go to Him),177933,db567516-40c0-46b0-9198-a196b8d2a19c
0d406e63-549a-4326-a319-509ff15398f0,No. 1,1,4,Chains,146493,b4e7e5e2-69a5-423c-be62-6a888d07ccb6
0ddf8f4f-2a0f-32b4-af77-6c00473a9edb,From Me to You / Thank You Girl,1,1,From Me to You,117106,dc87225b-46bc-4a5d-837f-14e7eb8f2ca2
0ddf8f4f-2a0f-32b4-af77-6c00473a9edb,From Me to You / Thank You Girl,1,2,Thank You Girl,123600,72e496b3-73e5-482a-99f8-5a0f9a844391
17c32d28-8783-490b-988c-aa8e289db011,Love Me Do / P.S. I Love You,1,1,Love Me Do,141693,1f518811-7cf9-4bdc-a656-0958e130f312
17c32d28-8783-490b-988c-aa8e289db011,Love Me Do / P.S. I Love You,1,2,P.S. I Love You,124000,c84e23aa-20d9-45df-85cb-a6ecdba6e44e
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,1,It Won’t Be Long,133000,49150aa6-2f72-4c95-9247-130d5046e827
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,2,All I’ve Got to Do,125000,c0071f77-86d0-4b0d-a36d-44c8af14dbe8
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,3,All My Loving,130000,be5761a7-d99a-44e8-96a4-904b490f7061
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,4,Don’t Bother Me,149000,fd8dec5e-c45f-4761-9d15-c1fb675cc21b
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,5,Little Child,108000,13075131-64d3-447d-9c98-cd3e06afffda
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,6,Till There Was You,137000,7ac6bb7b-6dca-4343-95f6-27eefc1a8841
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,7,Please Mister Postman,155000,d6760a03-b4fe-429b-ac0e-f49416a12409
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,8,Roll Over Beethoven,167640,706be20f-e062-4569-94cc-25842dc0a625
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,9,Hold Me Tight,153000,0432a2b7-614b-4389-b4fd-44ecdaddc84f
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,10,You Really Got a Hold on Me,183000,c30faedd-630b-48ea-9187-2ee737c310de
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,11,I Wanna Be Your Man,119000,fe9a1f66-b3f7-451a-b0af-0ad513beafed
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,12,Devil in Her Heart,148000,42fd2bdf-eb4b-486c-b144-d650013bd5b4
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,13,Not a Second Time,128000,b5351678-2cbe-4b3d-b843-9fbc0e36b423
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,14,Money (That’s What I Want),168000,37904f52-5381-4afa-a7a9-b49f408d6d33
20e0bad7-bfbf-4f18-b0b3-8549dfcef6f3,Love Me Do / P.S. I Love You,1,1,Love Me Do,143906,f87eb4dd-7e3c-4365-a3c8-f144696f5952
20e0bad7-bfbf-4f18-b0b3-8549dfcef6f3,Love Me Do / P.S. I Love You,1,2,P.S. I Love You,124000,c84e23aa-20d9-45df-85cb-a6ecdba6e44e
231aae8a-fd9a-42b4-bb2e-0b2e94f202fa,Please Please Me / Ask Me Why,1,1,Please Please Me,121786,875c1cf7-f568-4f0d-b5e3-bc8a7614269a
231aae8a-fd9a-42b4-bb2e-0b2e94f202fa,Please Please Me / Ask Me Why,1,2,Ask Me Why,142000,c8da403f-3c34-48b0-ae9e-7aa419df07c3
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,1,It Won’t Be Long,133000,49150aa6-2f72-4c95-9247-130d5046e827
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,2,All I’ve Got to Do,125000,c0071f77-86d0-4b0d-a36d-44c8af14dbe8
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,3,All My Loving,130000,be5761a7-d99a-44e8-96a4-904b490f7061
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,4,Don’t Bother Me,149000,fd8dec5e-c45f-4761-9d15-c1fb675cc21b
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,5,Little Child,108000,13075131-64d3-447d-9c98-cd3e06afffda
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,6,Till There Was You,137000,7ac6bb7b-6dca-4343-95f6-27eefc1a8841
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,7,Please Mister Postman,155000,d6760a03-b4fe-429b-ac0e-f49416a12409
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,8,Roll Over Beethoven,167640,706be20f-e062-4569-94cc-25842dc0a625
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,9,Hold Me Tight,153000,0432a2b7-614b-4389-b4fd-44ecdaddc84f
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,10,You Really Got a Hold on Me,183000,c30faedd-630b-48ea-9187-2ee737c310de
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,11,I Wanna Be Your Man,119000,fe9a1f66-b3f7-451a-b0af-0ad513beafed
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,12,Devil in Her Heart,148000,42fd2bdf-eb4b-486c-b144-d650013bd5b4
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,13,Not a Second Time,128000,b5351678-2cbe-4b3d-b843-9fbc0e36b423
2521ed53-2c54-37fe-8916-c4cc48e883a1,Beatlemania! With The Beatles,1,14,Money (That’s What I Want),168000,37904f52-5381-4afa-a7a9-b49f408d6d33
26cd4f44-72fd-4899-867f-ab2a54c109b6,Love Me Do / P.S. I Love You,1,1,Love Me Do,143906,f87eb4dd-7e3c-4365-a3c8-f144696f5952
26cd4f44-72fd-4899-867f-ab2a54c109b6,Love Me Do / P.S. I Love You,1,2,P.S. I Love You,124000,c84e23aa-20d9-45df-85cb-a6ecdba6e44e
27cf1b80-8ecb-4417-9683-10ab63e20a0d,Introducing… The Beatles,1,1,I Saw Her Standing There,175800,da77d23c-3acb-4b3d-9596-24aa55f03ece
27cf1b80-8ecb-4417-9683-10ab63e20a0d,Introducing… The Beatles,1,2,Misery,105000,b5b2c4ce-4c7d-4fa9-99ab-96cc10e767f1
