album_id,album_title,disc_number,track_number,title,length_seconds
1875aa24-168b-3815-9fc6-b6930ea36865,The Piper at the Gates of Dawn,1,1,Astronomy Domine,252
1875aa24-168b-3815-9fc6-b6930ea36865,The Piper at the Gates of Dawn,1,2,Lucifer Sam,187
1875aa24-168b-3815-9fc6-b6930ea36865,The Piper at the Gates of Dawn,1,3,Matilda Mother,188
1875aa24-168b-3815-9fc6-b6930ea36865,The Piper at the Gates of Dawn,1,4,Flaming,166
1875aa24-168b-3815-9fc6-b6930ea36865,The Piper at the Gates of Dawn,1,5,Pow R. Toc H.,266
1875aa24-168b-3815-9fc6-b6930ea36865,The Piper at the Gates of Dawn,1,6,Take Up Thy Stethoscope and Walk,185
1875aa24-168b-3815-9fc6-b6930ea36865,The Piper at the Gates of Dawn,1,7,Interstellar Overdrive,581
1875aa24-168b-3815-9fc6-b6930ea36865,The Piper at the Gates of Dawn,1,8,The Gnome,133
1875aa24-168b-3815-9fc6-b6930ea36865,The Piper at the Gates of Dawn,1,9,Chapter 24,222
1875aa24-168b-3815-9fc6-b6930ea36865,The Piper at the Gates of Dawn,1,10,The Scarecrow,131
1875aa24-168b-3815-9fc6-b6930ea36865,The Piper at the Gates of Dawn,1,11,Bike,201
2e20b2b1-fad2-40a2-8a60-5b200f5ec900,The Piper at the Gates of Dawn,1,1,Astronomy Domine,252
2e20b2b1-fad2-40a2-8a60-5b200f5ec900,The Piper at the Gates of Dawn,1,2,Lucifer Sam,187
2e20b2b1-fad2-40a2-8a60-5b200f5ec900,The Piper at the Gates of Dawn,1,3,Matilda Mother,188
2e20b2b1-fad2-40a2-8a60-5b200f5ec900,The Piper at the Gates of Dawn,1,4,Flaming,166
2e20b2b1-fad2-40a2-8a60-5b200f5ec900,The Piper at the Gates of Dawn,1,5,Pow R. Toc H.,266
2e20b2b1-fad2-40a2-8a60-5b200f5ec900,The Piper at the Gates of Dawn,1,6,Take Up Thy Stethoscope and Walk,185
2e20b2b1-fad2-40a2-8a60-5b200f5ec900,The Piper at the Gates of Dawn,1,7,Interstellar Overdrive,581
2e20b2b1-fad2-40a2-8a60-5b200f5ec900,The Piper at the Gates of Dawn,1,8,The Gnome,133
2e20b2b1-fad2-40a2-8a60-5b200f5ec900,The Piper at the Gates of Dawn,1,9,Chapter 24,222
2e20b2b1-fad2-40a2-8a60-5b200f5ec900,The Piper at the Gates of Dawn,1,10,The Scarecrow,131
2e20b2b1-fad2-40a2-8a60-5b200f5ec900,The Piper at the Gates of Dawn,1,11,Bike,201
2e20b2b1-fad2-40a2-8a60-5b200f5ec900,The Piper at the Gates of Dawn,1,12,See Emily Play,169
2e99c1a0-940e-41ee-bbbb-ab4360de76d4,The Piper at the Gates of Dawn,1,1,See Emily Play,173
2e99c1a0-940e-41ee-bbbb-ab4360de76d4,The Piper at the Gates of Dawn,1,2,Pow R. Toc H.,256
2e99c1a0-940e-41ee-bbbb-ab4360de76d4,The Piper at the Gates of Dawn,1,3,Take Up Thy Stethoscope and Walk,185
2e99c1a0-940e-41ee-bbbb-ab4360de76d4,The Piper at the Gates of Dawn,1,4,Lucifer Sam,187
2e99c1a0-940e-41ee-bbbb-ab4360de76d4,The Piper at the Gates of Dawn,1,5,Matilda Mother,179
2e99c1a0-940e-41ee-bbbb-ab4360de76d4,The Piper at the Gates of Dawn,1,6,The Scarecrow,131
2e99c1a0-940e-41ee-bbbb-ab4360de76d4,The Piper at the Gates of Dawn,1,7,The Gnome,133
2e99c1a0-940e-41ee-bbbb-ab4360de76d4,The Piper at the Gates of Dawn,1,8,Chapter 24,231
2e99c1a0-940e-41ee-bbbb-ab4360de76d4,The Piper at the Gates of Dawn,1,9,Interstellar Overdrive,581
667faa0a-da20-48ed-a87b-0e5bb0a16341,The Piper at the Gates of Dawn,1,1,See Emily Play,173
667faa0a-da20-48ed-a87b-0e5bb0a16341,The Piper at the Gates of Dawn,1,2,Pow R. Toc H.,256
667faa0a-da20-48ed-a87b-0e5bb0a16341,The Piper at the Gates of Dawn,1,3,Take Up Thy Stethoscope and Walk,187
667faa0a-da20-48ed-a87b-0e5bb0a16341,The Piper at the Gates of Dawn,1,4,Lucifer Sam,189
667faa0a-da20-48ed-a87b-0e5bb0a16341,The Piper at the Gates of Dawn,1,5,Matilda Mother,179
667faa0a-da20-48ed-a87b-0e5bb0a16341,The Piper at the Gates of Dawn,1,6,Scarecrow,130
667faa0a-da20-48ed-a87b-0e5bb0a16341,The Piper at the Gates of Dawn,1,7,The Gnome,134
667faa0a-da20-48ed-a87b-0e5bb0a16341,The Piper at the Gates of Dawn,1,8,Chapter 24,233
667faa0a-da20-48ed-a87b-0e5bb0a16341,The Piper at the Gates of Dawn,1,9,Interstellar Overdrive,581
b572b75a-f06d-411f-90f0-1c56431a4a55,The Piper at the Gates of Dawn,1,1,Astronomy Domine,252
b572b75a-f06d-411f-90f0-1c56431a4a55,The Piper at the Gates of Dawn,1,2,Lucifer Sam,187
b572b75a-f06d-411f-90f0-1c56431a4a55,The Piper at the Gates of Dawn,1,3,Matilda Mother,188
b572b75a-f06d-411f-90f0-1c56431a4a55,The Piper at the Gates of Dawn,1,4,Flaming,166
b572b75a-f06d-411f-90f0-1c56431a4a55,The Piper at the Gates of Dawn,1,5,Pow R. Toc H.,266
b572b75a-f06d-411f-90f0-1c56431a4a55,The Piper at the Gates of Dawn,1,6,Bike,201
b572b75a-f06d-411f-90f0-1c56431a4a55,The Piper at the Gates of Dawn,1,7,Interstellar Overdrive,581
