album_id,title,release_date,year,total_tracks
1875aa24-168b-3815-9fc6-b6930ea36865,The Piper at the Gates of Dawn,1967,1967,11
2e20b2b1-fad2-40a2-8a60-5b200f5ec900,The Piper at the Gates of Dawn,1967,1967,12
2e99c1a0-940e-41ee-bbbb-ab4360de76d4,The Piper at the Gates of Dawn,1967,1967,9
667faa0a-da20-48ed-a87b-0e5bb0a16341,The Piper at the Gates of Dawn,1967,1967,9
b572b75a-f06d-411f-90f0-1c56431a4a55,The Piper at the Gates of Dawn,1967,1967,11
cd0ed478-90bf-38e8-ad6a-30f7a09a2902,The Piper at the Gates of Dawn,1967,1967,11
6c7cdad8-4daf-3248-b6c1-ea896c2e568e,The Piper at the Gates of Dawn,1967-07-07,1967,11
1f715142-a0ef-48c8-9e72-c402e5bad13f,The Piper at the Gates of Dawn,1967-08-05,1967,11
cf0d899c-bbc6-4a33-ba74-5e335284e836,The Piper at the Gates of Dawn,1967-08-05,1967,11
04bc55af-516a-35cd-9c69-eab8f151873e,The Piper at the Gates of Dawn,1967-10-02,1967,11
4380f6dd-d315-42c5-84a8-e7bd513034bf,The Piper at the Gates of Dawn,1967-10-21,1967,9
b2cd088b-b831-4c6b-8167-721f34f33ff0,The Piper at the Gates of Dawn,1967-10-21,1967,9
4027c972-d2aa-387a-83e2-b5f7ac24a7be,A Saucerful of Secrets,1968,1968,7
957c418c-bcd9-4ca2-b61f-6eb735848d52,A Saucerful of Secrets,1968,1968,7
d13a919a-6154-4706-8835-a879bc0d23ed,The Piper at the Gates of Dawn,1968,1968,9
eac30845-fb89-487d-aed9-bb5ce4be6a72,The Piper at the Gates of Dawn,1968,1968,9
83de2a63-010a-37a6-92b5-11d8b89c518a,A Saucerful of Secrets,1968-06,1968,7
bc2be498-ff42-4a4f-b4df-53d6e3bee74a,A Saucerful of Secrets,1968-06-29,1968,7
2d35d84e-97d7-4b32-96f5-7bd5c4bb9b77,The Piper at the Gates of Dawn,1969,1969,11
328ee930-f19e-4ed1-8693-d4f13194b3ad,Ummagumma,1969,1969,9
42693cbb-0e88-39b8-b9a3-ff92854232f7,The Piper at the Gates of Dawn,1969,1969,11
6ef5a562-b00c-317d-89ad-704bff1e28b9,The Piper at the Gates of Dawn,1969,1969,9
9d4c4846-825d-457c-a21c-81bde56465d6,The Piper at the Gates of Dawn,1969,1969,11
9e6e4a18-de08-3356-b06d-8fc8a4fec574,Ummagumma,1969,1969,12
d72cbc78-c28a-369b-b07f-439e85e4666e,Ummagumma,1969,1969,9
e9823210-b67b-4e45-8ec3-781c5e069fce,The Piper at the Gates of Dawn,1969,1969,11
f5920986-27e6-483b-b7f6-1b3c14b26866,Ummagumma,1969,1969,9
c1ad763c-431a-4134-94b6-8ac508154b7b,Ummagumma,1969-10-25,1969,9
b54e4ad1-188a-352f-85d8-ca40d4ec4748,Ummagumma,1969-11-10,1969,12
2c7efdf8-2d9f-37f5-8f01-b71ae38c3ea4,Atom Heart Mother,1970,1970,5
2f77be7d-baf5-3444-8c48-238aab6668b0,Atom Heart Mother,1970,1970,5
832a6791-ccb8-3c96-8729-1e7f4badf693,Ummagumma,1970,1970,9
8bd401a2-c4bf-36da-87bc-cd9b4b7b8263,Atom Heart Mother,1970,1970,5
9199d10d-1245-397a-919b-6182a8e0f361,Atom Heart Mother,1970,1970,5
99bb4f7c-753f-34bf-bf10-71ce81a7db3e,Atom Heart Mother,1970,1970,5
b7f842a2-7eab-31a1-ad52-17e10a394049,Atom Heart Mother,1970,1970,5
e72276df-539d-4ed5-8669-72d170d63fcd,The Piper at the Gates of Dawn,1970,1970,12
6571020d-6b25-4edd-9e82-44aba29827d0,Atom Heart Mother,1970-10-10,1970,5
72d8c557-4e3a-4550-9bee-a3289a50dfb7,Atom Heart Mother,1970-10-10,1970,5
