album_id,album_title,disc_number,track_number,title,length_seconds
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,1,It Won’t Be Long,133
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,2,All I’ve Got to Do,125
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,3,All My Loving,130
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,4,Don’t Bother Me,149
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,5,Little Child,108
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,6,Till There Was You,137
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,7,Please Mister Postman,155
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,8,Roll Over Beethoven,167
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,9,Hold Me Tight,153
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,10,You Really Got a Hold on Me,183
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,11,I Wanna Be Your Man,119
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,12,Devil in Her Heart,148
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,13,Not a Second Time,128
1ddc316c-2578-4aac-a975-5e21b33a4549,With The Beatles,1,14,Money (That’s What I Want),168
2999bc64-9246-41b1-9469-178a1a9a9227,Please Please Me,1,1,I Saw Her Standing There,175
2999bc64-9246-41b1-9469-178a1a9a9227,Please Please Me,1,2,Misery,110
2999bc64-9246-41b1-9469-178a1a9a9227,Please Please Me,1,3,Anna (Go to Him),177
2999bc64-9246-41b1-9469-178a1a9a9227,Please Please Me,1,4,Chains,146
2999bc64-9246-41b1-9469-178a1a9a9227,Please Please Me,1,5,Boys,147
2999bc64-9246-41b1-9469-178a1a9a9227,Please Please Me,1,6,Ask Me Why,147
2999bc64-9246-41b1-9469-178a1a9a9227,Please Please Me,1,7,Please Please Me,121
2999bc64-9246-41b1-9469-178a1a9a9227,Please Please Me,1,8,Love Me Do,141
2999bc64-9246-41b1-9469-178a1a9a9227,Please Please Me,1,9,P.S. I Love You,124
2999bc64-9246-41b1-9469-178a1a9a9227,Please Please Me,1,10,Baby It’s You,160
