year,song_title,release_date,release_title,release_type,album_name,length_seconds
1963,Baby What’s Wrong,1963,Baby What’s Wrong,Single,,208
1963,Come On,1963-06-07,Come On / I Want to Be Loved,Single,,110
1963,I Want to Be Loved,1963-06-07,Come On / I Want to Be Loved,Single,,111
1963,Poison Ivy,1963-09,Poison Ivy / Fortune Teller,Single,,129
1963,Fortune Teller,1963-09,Poison Ivy / Fortune Teller,Single,,130
1963,I Wanna Be Your Man,1963-11-01,I Wanna Be Your Man / Stoned,Single,,103
1963,Stoned,1963-11-01,I Wanna Be Your Man / Stoned,Single,,129
1964,Tell Me (You’re Coming Back),1964,Tell Me (You’re Coming Back) / Route 66,Single,,
1964,Route 66,1964,Tell Me (You’re Coming Back) / Route 66,Single,,
1964,It’s All Over Now,1964,Not Fade Away,Single,,200
1964,Now I’ve Got a Witness,1964,Not Fade Away,Single,,146
1964,Not Fade Away,1964,Not Fade Away,Single,,106
1964,"Good Times, Bad Times",1964,"It’s All Over Now / Good Times, Bad Times",Single,,
1964,Time Is on My Side,1964,Time Is on My Side / Congratulations,Single,,
1964,Congratulations,1964,Time Is on My Side / Congratulations,Single,,
1964,Tell Me,1964,Tell Me / Honest I Do,Single,,
1964,Honest I Do,1964,Tell Me / Honest I Do,Single,,
1964,19th Nervous Breakdown,1964,The Second Rolling Stones EP,Single,,237
1964,Under the Boardwalk,1964,The Second Rolling Stones EP,Single,,
1964,Paint It Black,1964,The Second Rolling Stones EP,Single,,
1964,Little by Little,1964,Not Fade Away / Little by Little,Single,,
1964,Off the Hook,1964,Time Is On My Side,Single,,155
1964,Little Red Rooster,1964,Time Is On My Side,Single,,185
1964,I Just Want to Make Love to You,1964,The Rolling Stones,Album Track,The Rolling Stones,138
1964,Mona (I Need You Baby),1964,The Rolling Stones,Album Track,The Rolling Stones,217
1964,Now I’ve Got a Witness (Like Uncle Phil and Uncle Gene),1964,The Rolling Stones,Album Track,The Rolling Stones,152
1964,I’m a King Bee,1964,The Rolling Stones,Album Track,The Rolling Stones,157
1964,Carol,1964,The Rolling Stones,Album Track,The Rolling Stones,155
1964,Can I Get a Witness,1964,The Rolling Stones,Album Track,The Rolling Stones,178
1964,You Can Make It If You Try,1964,The Rolling Stones,Album Track,The Rolling Stones,123
1964,Walking the Dog,1964,The Rolling Stones,Album Track,The Rolling Stones,189
1964,If You Need Me,1964,If You Need Me / Around and Around,Single,,125
1964,Around and Around,1964,If You Need Me / Around and Around,Single,,190
