artist,song_title,release_date,release_title,release_type,track_position,recording_id,length_seconds
The Beatles,From Me to You,1963-09-06,The Beatles’ Hits,Album,1-1,dc87225b-46bc-4a5d-837f-14e7eb8f2ca2,117
The Beatles,Thank You Girl,1963-09-06,The Beatles’ Hits,Album,1-2,72e496b3-73e5-482a-99f8-5a0f9a844391,123
The Beatles,Please Please Me,1963-09-06,The Beatles’ Hits,Album,1-3,875c1cf7-f568-4f0d-b5e3-bc8a7614269a,121
The Beatles,Love Me Do,1963-09-06,The Beatles’ Hits,Album,1-4,1f518811-7cf9-4bdc-a656-0958e130f312,141
The Beatles,From Me to You,1963,From Me to You / Thank You Girl,Single,1-1,dc87225b-46bc-4a5d-837f-14e7eb8f2ca2,117
The Beatles,Thank You Girl,1963,From Me to You / Thank You Girl,Single,1-2,72e496b3-73e5-482a-99f8-5a0f9a844391,123
The Beatles,I Want to Hold Your Hand,1963-12-12,I Want to Hold Your Hand,Single,1-1,e9433409-2786-4194-8dfb-9427e6ba34d2,147
The Beatles,This Boy,1963-12-12,I Want to Hold Your Hand,Single,1-2,7c9e1dfc-71e4-4980-982b-ef841efdd325,135
The Beatles,Please Please Me,1963-02-07,Please Please Me / Ask My Why,Single,1-1,875c1cf7-f568-4f0d-b5e3-bc8a7614269a,121
The Beatles,Ask Me Why,1963-02-07,Please Please Me / Ask My Why,Single,1-2,c8da403f-3c34-48b0-ae9e-7aa419df07c3,142
The Beatles,I Saw Her Standing There,1963-11-01,No. 1,Album,1-1,da77d23c-3acb-4b3d-9596-24aa55f03ece,175
The Beatles,Misery,1963-11-01,No. 1,Album,1-2,c91fd146-01cb-4673-b653-d0845c05e164,110
The Beatles,Anna (Go to Him),1963-11-01,No. 1,Album,1-3,db567516-40c0-46b0-9198-a196b8d2a19c,177
The Beatles,Chains,1963-11-01,No. 1,Album,1-4,b4e7e5e2-69a5-423c-be62-6a888d07ccb6,146
The Beatles,From Me to You,1963-06-18,From Me to You / Thank You Girl,Single,1-1,dc87225b-46bc-4a5d-837f-14e7eb8f2ca2,117
The Beatles,Thank You Girl,1963-06-18,From Me to You / Thank You Girl,Single,1-2,72e496b3-73e5-482a-99f8-5a0f9a844391,123
The Beatles,Love Me Do,1963,Love Me Do / P.S. I Love You,Single,1-1,1f518811-7cf9-4bdc-a656-0958e130f312,141
The Beatles,P.S. I Love You,1963,Love Me Do / P.S. I Love You,Single,1-2,c84e23aa-20d9-45df-85cb-a6ecdba6e44e,124
The Beatles,It Won’t Be Long,1963,With The Beatles,Album,1-1,49150aa6-2f72-4c95-9247-130d5046e827,133
The Beatles,All I’ve Got to Do,1963,With The Beatles,Album,1-2,c0071f77-86d0-4b0d-a36d-44c8af14dbe8,125
The Beatles,All My Loving,1963,With The Beatles,Album,1-3,be5761a7-d99a-44e8-96a4-904b490f7061,130
The Beatles,Don’t Bother Me,1963,With The Beatles,Album,1-4,fd8dec5e-c45f-4761-9d15-c1fb675cc21b,149
The Beatles,Little Child,1963,With The Beatles,Album,1-5,13075131-64d3-447d-9c98-cd3e06afffda,108
The Beatles,Till There Was You,1963,With The Beatles,Album,1-6,7ac6bb7b-6dca-4343-95f6-27eefc1a8841,137
